Date,IDStation,NameStation,Ammonia,Arsenic,Benzene,Benzo_a_pyrene,BlackCarbon,Cadmium,CO,Lead,Nikel,NO,NO2,NOx,Ozone,PM10,PM25,Sulfur_dioxide
2018-01-15T00:00:00Z,681,Moggio,3.5,NA,NA,NA,NA,NA,NA,NA,NA,1.1,10.366666666666667,11.933333333333334,43.81666666666666,26,19,NA
2018-01-15T00:00:00Z,642,Pavia Via Folperti,1.9,NA,1.6,NA,NA,NA,NA,NA,NA,NA,45.99583333333334,95.54166666666667,1.9291666666666667,63,47,7.5875
2018-01-15T00:00:00Z,693,Sannazzaro De Burgondi Agip,2.9,NA,1.9,NA,NA,NA,NA,NA,NA,NA,39.545833333333334,59.40416666666667,NA,51,46,13.120833333333334
2018-01-15T00:00:00Z,703,Schivenoglia,19.2,NA,1.2,NA,NA,NA,1.3708333333333333,NA,NA,NA,28.579166666666666,48.7875,3.0708333333333333,40,45,2.129166666666667
2018-01-16T00:00:00Z,677,Cremona Via Fatebenefratelli,2.8,NA,NA,NA,NA,NA,0.6458333333333334,NA,NA,NA,45.37916666666666,124.23333333333333,2.3,71,56,1.2458333333333333
2018-01-16T00:00:00Z,705,Milano Pascal Citta Studi,NA,NA,2.5,NA,NA,NA,NA,NA,NA,NA,44.22083333333333,80.28695652173913,5.758333333333334,53,41,2.1083333333333334
2018-01-16T00:00:00Z,681,Moggio,3.8,NA,NA,NA,NA,NA,NA,NA,NA,1.6,15.966666666666667,21.275,38.791666666666664,21,15,NA
2018-01-16T00:00:00Z,642,Pavia Via Folperti,1.6,NA,1.5,NA,NA,NA,NA,NA,NA,NA,46.708333333333336,100.9625,3.95,59,47,7.720833333333333
2018-01-16T00:00:00Z,693,Sannazzaro De Burgondi Agip,3.7,NA,1.8,NA,NA,NA,NA,NA,NA,NA,37.854166666666664,58.49166666666667,NA,58,53,5.095833333333333
2018-01-16T00:00:00Z,703,Schivenoglia,NA,NA,1.2,NA,NA,NA,1.3666666666666667,NA,NA,NA,32.19583333333333,54.0625,3.8041666666666667,40,47,3.5666666666666664
2018-01-17T00:00:00Z,677,Cremona Via Fatebenefratelli,1.2,NA,NA,NA,NA,NA,0.3875,NA,NA,NA,40.9375,62.36666666666667,17.85,33,25,1.45
2018-01-17T00:00:00Z,705,Milano Pascal Citta Studi,NA,NA,3.1,NA,4,NA,NA,NA,NA,NA,51.666666666666664,112.53333333333333,11.8125,NA,NA,3.2291666666666665
2018-01-17T00:00:00Z,681,Moggio,1.9,NA,NA,NA,NA,NA,NA,NA,NA,0.016666666666666666,1.275,1.0666666666666667,82.34583333333333,5,5,NA
2018-01-17T00:00:00Z,642,Pavia Via Folperti,1.4,NA,1.4,NA,NA,NA,NA,NA,NA,NA,52.50416666666667,118.175,9.495833333333334,29,18,8.8875
2018-01-17T00:00:00Z,693,Sannazzaro De Burgondi Agip,4,NA,1.6,NA,NA,NA,NA,NA,NA,NA,41.6,75.10833333333333,NA,31,25,5.466666666666667
2018-01-17T00:00:00Z,703,Schivenoglia,NA,NA,0.7,NA,NA,NA,1.1708333333333334,NA,NA,NA,27.454166666666666,39.454166666666666,17.05,32,24,3.85
2018-01-18T00:00:00Z,677,Cremona Via Fatebenefratelli,1.1,NA,NA,NA,NA,NA,0.44583333333333336,NA,NA,NA,57.925,117.36666666666666,18.4375,27,21,2.058333333333333
2018-01-18T00:00:00Z,705,Milano Pascal Citta Studi,NA,NA,2.9,NA,3.8,NA,NA,NA,NA,NA,58.57083333333333,115.0625,15.170833333333334,34,22,4.6375
2018-01-18T00:00:00Z,681,Moggio,1.3,NA,NA,NA,NA,NA,NA,NA,NA,0,1.8916666666666666,1.8083333333333333,81.91666666666667,4,2,NA
2018-01-18T00:00:00Z,642,Pavia Via Folperti,1.7,NA,1.1,NA,NA,NA,NA,NA,NA,NA,65.0875,142.8375,12.304166666666667,33,24,8.145833333333334
2018-01-18T00:00:00Z,693,Sannazzaro De Burgondi Agip,3.2,NA,1.4,NA,NA,NA,NA,NA,NA,NA,38.979166666666664,67.47916666666667,NA,20,13,5.85
2018-01-18T00:00:00Z,703,Schivenoglia,14.6,NA,0.3,NA,NA,NA,0.9416666666666667,NA,NA,NA,24.720833333333335,28.695833333333333,22.704166666666666,14,12,3.058333333333333
2018-01-19T00:00:00Z,677,Cremona Via Fatebenefratelli,1.7,NA,NA,NA,NA,NA,0.7166666666666667,NA,NA,NA,74.96666666666667,223.26666666666665,5.108333333333333,55,39,3.3875
2018-01-19T00:00:00Z,705,Milano Pascal Citta Studi,NA,NA,3.9,NA,6.6,NA,NA,NA,NA,NA,70.70833333333333,216.40833333333333,6.320833333333334,49,32,5.8625
2018-01-19T00:00:00Z,681,Moggio,1.4,NA,NA,NA,NA,NA,NA,NA,NA,0,1.3833333333333333,1.1083333333333334,85.325,4,5,NA
2018-01-19T00:00:00Z,642,Pavia Via Folperti,2.6,NA,1.5,NA,NA,NA,NA,NA,NA,NA,63.2875,153.42083333333332,6.833333333333333,38,26,9.758333333333333
2018-01-19T00:00:00Z,693,Sannazzaro De Burgondi Agip,3.8,NA,2,NA,NA,NA,NA,NA,NA,NA,41.68333333333334,83.01666666666667,NA,31,24,5.1125
2018-01-19T00:00:00Z,703,Schivenoglia,NA,NA,0.9,NA,NA,NA,1.2333333333333334,NA,NA,NA,40.05833333333333,72.7875,6.3500000000000005,43,34,4.445833333333334
2018-01-20T00:00:00Z,677,Cremona Via Fatebenefratelli,4.9,NA,NA,NA,NA,NA,0.8333333333333334,NA,NA,NA,66.98333333333333,222.15416666666667,4.241666666666666,69,62,3.4791666666666665
2018-01-20T00:00:00Z,705,Milano Pascal Citta Studi,NA,NA,3.4,NA,6,NA,NA,NA,NA,NA,57.05833333333333,131.12083333333334,4.866666666666667,59,47,3.2583333333333333
2018-01-20T00:00:00Z,681,Moggio,1.1,NA,NA,NA,NA,NA,NA,NA,NA,0.008333333333333333,1.25,1.2083333333333333,87.77916666666667,7,6,NA
2018-01-20T00:00:00Z,642,Pavia Via Folperti,3.9,NA,1.4,NA,NA,NA,NA,NA,NA,NA,58.675,129.45833333333334,4.595833333333333,51,38,8.558333333333334
2018-01-20T00:00:00Z,693,Sannazzaro De Burgondi Agip,3.9,NA,1.8,NA,NA,NA,NA,NA,NA,NA,45.80833333333333,89.12916666666666,NA,31,26,4.654166666666667
2018-01-20T00:00:00Z,703,Schivenoglia,NA,NA,1.2,NA,NA,NA,1.3416666666666668,NA,NA,NA,33.6375,75.85416666666667,6.529166666666667,53,44,4.0375
2018-01-21T00:00:00Z,677,Cremona Via Fatebenefratelli,6.9,NA,NA,NA,NA,NA,0.5166666666666667,NA,NA,NA,45.625,95.02083333333333,16.541666666666668,43,35,2.841666666666667
2018-01-21T00:00:00Z,705,Milano Pascal Citta Studi,NA,NA,1.1,NA,1.3,NA,NA,NA,NA,NA,31.291666666666668,44.7875,33.858333333333334,13,9,2.55
2018-01-21T00:00:00Z,681,Moggio,1.3,NA,NA,NA,NA,NA,NA,NA,NA,0.025,1.925,1.8333333333333333,82.64583333333333,6,5,NA
2018-01-21T00:00:00Z,642,Pavia Via Folperti,5,NA,1.3,NA,NA,NA,NA,NA,NA,NA,53.1375,119.0875,15.55,37,28,9.708333333333334
2018-01-21T00:00:00Z,693,Sannazzaro De Burgondi Agip,4.5,NA,1.5,NA,NA,NA,NA,NA,NA,NA,34.704166666666666,61.57083333333333,NA,35,31,4.479166666666667
2018-01-21T00:00:00Z,703,Schivenoglia,20.1,NA,1,NA,NA,NA,1.3375,NA,NA,NA,29.166666666666664,43.775,11.170833333333333,48,39,4.025
2018-01-22T00:00:00Z,677,Cremona Via Fatebenefratelli,4.7,NA,NA,NA,NA,NA,0.5166666666666667,NA,NA,NA,56.80833333333333,155.90416666666667,12.404166666666667,46,36,4.7375
2018-01-22T00:00:00Z,705,Milano Pascal Citta Studi,NA,NA,2.2,NA,3.5,NA,NA,NA,NA,NA,47.4875,106.8125,18.445833333333333,38,25,3.4583333333333335
2018-01-22T00:00:00Z,681,Moggio,1.5,NA,NA,NA,NA,NA,NA,NA,NA,0.19166666666666665,5.525,6.233333333333333,74.0125,11,10,NA
2018-01-22T00:00:00Z,642,Pavia Via Folperti,4,NA,1.2,NA,NA,NA,NA,NA,NA,NA,48.34583333333333,126.375,8.720833333333333,54,41,7.95
2018-01-22T00:00:00Z,693,Sannazzaro De Burgondi Agip,13.8,NA,1.6,NA,NA,NA,NA,NA,NA,NA,40.9,91.33478260869565,NA,39,33,6.239130434782608
2018-01-22T00:00:00Z,703,Schivenoglia,17.4,NA,0.6,NA,NA,NA,0.9173913043478261,NA,NA,NA,28.4,35.295833333333334,19.7,36,32,2.8833333333333333
